a,alpha,d,theta,min_theta,max_theta
290.0,0.0,1.5707963267948966,-165.0,165.0,0.0
0.0,270.0,0.0,-110.0,110.0,1.5707963267948966
0.0,70.0,1.5707963267948966,-110.0,70.0,0.0
302.0,0.0,-1.5707963267948966,-160.0,160.0,0.0
0.0,0.0,1.5707963267948966,-120.0,120.0,0.0
72.0,0.0,0.0,-400.0,400.0,0.0
